ordering,perm,E_var,err_var_mHa,retained_J,n_unique,n_alpha_tot,n_beta_tot,top1,gini_alpha,gini_beta,dps_alpha,dps_beta,dim,E_sub,err_sub_mHa,pct_corr
q016,2617085943,-108.63264473139986,211.65570006743906,0.21038193396041188,129,35,39,0.985582,0.9690723428571428,0.9722133333333334,3.5e-05,3.9e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q017,2871653049,-108.61476441458336,229.53601688394087,0.13736421559602804,99,30,27,0.985219,0.9644556666666667,0.9604917037037037,3e-05,2.7e-05,225,-108.7319612638568,112.33916761050011,56.28449728249148
q018,0476218395,-108.65707425655503,187.22617491226856,0.22963402514738565,152,41,45,0.978385,0.9723033658536585,0.9748108,4.1e-05,4.5e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q019,5862107394,-108.64940379395918,194.8966375081227,0.23511186360991054,185,43,41,0.97006,0.9736171162790698,0.9723296585365854,4.3e-05,4.1e-05,225,-108.7893201843459,54.98024712140648,78.60506541424216
q020,4057293816,-108.62073387759803,223.5665538692757,0.19975797168446893,117,31,32,0.988117,0.9658823225806452,0.966946625,3.1e-05,3.2e-05,225,-108.7865407446906,57.75968677670562,77.52347824933047
q021,6905314872,-108.59168031079446,252.62012067284445,0.18017416584838822,71,29,25,0.991893,0.9644288965517241,0.95875232,2.9e-05,2.5e-05,225,-108.7965131647605,47.78726670680555,81.40413150623698
q022,5718634290,-108.62919047403038,215.10995743692263,0.2661201993614298,123,41,36,0.987068,0.9737597560975609,0.9701339444444445,4.1e-05,3.6e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q023,8521073946,-108.64577449520124,198.52593626606563,0.23511186360991063,180,43,42,0.973809,0.9738293953488372,0.9732844285714286,4.3e-05,4.2e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q024,2631094785,-108.6473642612778,196.9361701895025,0.28520025777764285,176,41,40,0.972349,0.9726056585365853,0.97190765,4.1e-05,4e-05,225,-108.8079497994108,36.35063205649658,85.85456712694744
q025,7931256804,-108.63778094509406,206.5194863732387,0.21136047575698813,132,39,43,0.986253,0.9721227692307692,0.9747192093023256,3.9e-05,4.3e-05,225,-108.8009514057571,43.349025710199385,83.1312222482727
q026,4159067382,-108.65137606845974,192.92436300756322,0.2318052013653265,147,44,40,0.980521,0.974782,0.9722956,4.4e-05,4e-05,225,-108.7857137786051,58.58665286220344,77.20167385174751
q027,5469201387,-108.63586185762873,208.43857383857767,0.21583874249592294,140,38,41,0.980218,0.9712585263157895,0.9733586341463415,3.8e-05,4.1e-05,225,-108.7942829042347,50.01752723259756,80.53625112088419
q028,5720498136,-108.58071944278689,263.5809886804168,0.2254874730575577,79,30,33,0.989719,0.9655103333333334,0.9686250303030303,3e-05,3.3e-05,225,-108.7877867356382,56.51369582909638,78.00834138135097
q029,1928547603,-108.65118822339977,193.11220806753226,0.2351118636099106,166,43,39,0.964294,0.9736418139534884,0.9709931282051282,4.3e-05,3.9e-05,225,-108.8078268065507,36.47362491660999,85.80670586159462
q030,8015463972,-108.61074955057941,233.5508808878899,0.25317405802379905,121,34,36,0.987734,0.9683249411764706,0.9701075555555556,3.4e-05,3.6e-05,225,-108.8156987162553,28.601715212005274,88.86996952469002
q031,0891754236,-108.61219078433355,232.10964713375404,0.30660843664186377,148,39,40,0.981152,0.9713925128205129,0.972141,3.9e-05,4e-05,225,-108.8141772338373,30.123197630004483,88.27790203662303
q032,8351209647,-108.63095411362671,213.346317840589,0.21253208025133893,131,35,36,0.986628,0.9691497714285714,0.9700442222222222,3.5e-05,3.6e-05,225,-108.8021119757447,42.18845572260932,83.58284479030773
q033,1935426708,-108.63701786796612,207.28256350118102,0.27909662209466235,165,41,43,0.978311,0.972685756097561,0.9739893023255813,4.1e-05,4.3e-05,225,-108.8134184300106,30.88200145670328,87.98262220276207
q034,4963027185,-108.65710114154874,187.19928991856705,0.23606937547947313,185,44,42,0.971109,0.9736775,0.9724641428571429,4.4e-05,4.2e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q035,7958164032,-108.620980202022,223.3202294453065,0.1978008880913164,135,37,38,0.985771,0.9709456756756757,0.9717400526315789,3.7e-05,3.8e-05,225,-108.7947966209845,49.503810482804056,80.736158120814
q036,2076319854,-108.59023526295215,254.06516851515448,0.23411502953459962,160,39,37,0.978173,0.9712571282051282,0.9697854054054054,3.9e-05,3.7e-05,225,-108.8133821029646,30.91832850270748,87.96848594813162
q037,4016389752,-108.57573097346084,268.5694580064677,0.22452996118799512,73,26,26,0.992309,0.9603756153846154,0.9603594615384615,2.6e-05,2.6e-05,225,-108.7594964479112,84.80398355609964,66.9994993513223
q038,6453978021,-108.6504859148315,193.81451663579696,0.22742021664142836,190,48,44,0.973724,0.9761598333333333,0.9740676818181818,4.8e-05,4.4e-05,225,-108.7970323794137,47.26805205361018,81.60617795241886
q039,4692507183,-108.63428174508414,210.01868638316523,0.21386062897575667,142,37,36,0.982766,0.9703236216216217,0.969548388888889,3.7e-05,3.6e-05,225,-108.7935223495411,50.778081926196705,80.24028995718638
q040,4697508132,-108.58254551643041,261.75491503688875,0.22353038946440518,110,36,33,0.98556,0.9705375555555555,0.9678846666666667,3.6e-05,3.3e-05,225,-108.7911586143901,53.14181707720422,79.32046944742784
q041,3658720194,-108.62826806695942,216.03236450788188,0.26475553216930436,125,38,35,0.983462,0.9716453684210526,0.9692406285714286,3.8e-05,3.5e-05,225,-108.8079497994108,36.35063205649658,85.85456712694744
q042,5172346809,-108.61970301865176,224.59741281554102,0.26047032812814414,108,38,36,0.989245,0.9719910526315789,0.9704472222222222,3.8e-05,3.6e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q043,3187946025,-108.63864064187742,205.6597895898875,0.21798888878684997,159,39,42,0.98178,0.9714380512820513,0.9735288095238095,3.9e-05,4.2e-05,225,-108.8004167765307,43.883654936607286,82.92317739715784
q044,5078429361,-108.60903186173522,235.2685697320851,0.13673521463753155,83,29,27,0.989729,0.9639884827586207,0.9613502962962963,2.9e-05,2.7e-05,225,-108.7408248769498,103.47555451750168,59.73367098117305
q045,2345671908,-108.61725479343427,227.04563803303301,0.3119083009473079,126,35,37,0.983629,0.9688550857142857,0.9705093513513513,3.5e-05,3.7e-05,225,-108.8134184300107,30.882001456603803,87.98262220280078
q046,8327165904,-108.67342405640662,170.8763750606863,0.2594707564045541,183,48,46,0.965881,0.9754812916666666,0.9744346956521739,4.8e-05,4.6e-05,225,-108.8134184300106,30.88200145670328,87.98262220276207
q047,1256097438,-108.65639860033185,187.90183113544856,0.24041172791535473,169,45,41,0.977065,0.9751687555555556,0.972772,4.5e-05,4.1e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q048,0627154389,-108.66907022888532,175.23020258198585,0.2541708920991099,185,46,43,0.964114,0.9744204347826086,0.9726908837209303,4.6e-05,4.3e-05,225,-108.805414139892,38.88629157530943,84.86784421504491
q049,9052347861,-108.61592914014909,228.37129131821143,0.20609672991925143,130,40,41,0.984382,0.9729357,0.9735710243902439,4e-05,4.1e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q050,6034278951,-108.57912784350711,265.17258796019405,0.17487430154294406,102,35,34,0.984816,0.9699970857142857,0.9691034117647059,3.5e-05,3.4e-05,225,-108.7893480882331,54.952343234205614,78.61592389292511
q051,0452139876,-108.66156674451065,182.73368695665226,0.23591563498744691,131,41,43,0.980792,0.9723789756097561,0.9737344186046512,4.1e-05,4.3e-05,225,-108.7893480882331,54.952343234205614,78.61592389292511
q052,5189074362,-108.6137210158757,230.5794155916061,0.31010495784618153,121,36,40,0.986493,0.9703251666666667,0.97329985,3.6e-05,4e-05,225,-108.7889507621235,55.349669343797814,78.4613089799516
q053,3450672198,-108.60712183765135,237.17859381595474,0.2551704638226999,138,38,38,0.979214,0.9713907894736842,0.9713994210526316,3.8e-05,3.8e-05,225,-108.8052252825306,39.075148936703386,84.79435253203847
q054,9017634258,-108.61825360284995,226.04682861735625,0.2585132445349915,105,35,38,0.989826,0.9697512571428571,0.9721297894736842,3.5e-05,3.8e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q055,4796508312,-108.62669076492148,217.60966654582603,0.2062536741493185,138,41,37,0.975367,0.9734728292682927,0.9706531891891892,4.1e-05,3.7e-05,225,-108.7953812974371,48.919134030199984,80.96367827782011
q056,6103482975,-108.60707994282171,237.22048864559042,0.19013027104984792,138,39,42,0.97979,0.9721894358974359,0.9742041428571429,3.9e-05,4.2e-05,225,-108.7985218798455,45.778551621808106,82.18580001620285
q057,0815762493,-108.64239523367522,201.9051977920867,0.2736187836321375,168,46,46,0.974802,0.975207347826087,0.9752044782608695,4.6e-05,4.6e-05,225,-108.7953870510818,48.91338038549975,80.96591724287458
q058,6124795308,-108.63489765566425,209.40277580305633,0.21038193396041188,123,39,32,0.986914,0.9723277948717949,0.9663010625,3.9e-05,3.2e-05,225,-108.8009514057571,43.349025710199385,83.1312222482727
q059,9475238061,-108.61094058285019,233.35984861711268,0.19334365127939526,143,36,38,0.977803,0.9695428888888888,0.9711514736842105,3.6e-05,3.8e-05,225,-108.8134184300106,30.88200145670328,87.98262220276207
q060,9675348102,-108.63754342061405,206.75701085325215,0.28124676838558943,166,43,44,0.973475,0.9739126976744186,0.9745086363636364,4.3e-05,4.4e-05,225,-108.7881328348322,56.167596635106065,78.14302192578823
q061,7214385609,-108.62543838926729,218.8620422000156,0.20903235530898037,119,37,38,0.987618,0.9710046486486487,0.9717731578947368,3.7e-05,3.8e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q062,9178062534,-108.65684405186045,187.45637960685713,0.2905033258211278,152,44,42,0.975755,0.9737134545454545,0.9724962857142857,4.4e-05,4.2e-05,225,-108.8050739168715,39.2265145957964,84.73545031634501
q063,8613045792,-108.68034169898213,163.95873248517034,0.2117283088738025,211,55,46,0.963037,0.9776864,0.973329,5.5e-05,4.6e-05,225,-108.7926152567213,51.6851747459981,79.88730515702703
q064,0328569714,-108.66948577118185,174.814660285449,0.1911271051251588,175,40,41,0.97564,0.9713688,0.9721077073170732,4e-05,4.1e-05,225,-108.7915284046835,52.77202678379922,79.46436911234528
q065,8106759243,-108.61452023080756,229.78020065974647,0.25021740270705645,114,36,36,0.986094,0.9703076666666667,0.9703076111111111,3.6e-05,3.6e-05,225,-108.795030225557,49.270205910303844,80.82706266943379
q066,6359074281,-108.65874953252526,185.55089894204002,0.29182867080750485,148,45,44,0.981724,0.975226,0.9747157272727273,4.5e-05,4.4e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q067,1549836270,-108.63417391766423,210.12651380307545,0.22646601485413395,157,44,42,0.971871,0.9745852727272727,0.9733589523809524,4.4e-05,4.2e-05,225,-108.7832651156939,61.03531577340959,76.248804675075
q068,4932750681,-108.60855456757943,235.7458638878711,0.1911514451344408,84,22,21,0.989102,0.9521618181818182,0.9499154285714285,2.2e-05,2.1e-05,225,-108.807463702847,36.83672862030107,85.6654082066175
q069,7460521389,-108.60966954688685,234.63088458045434,0.19862568939586656,135,36,37,0.979565,0.9700334444444444,0.9708777837837838,3.6e-05,3.7e-05,225,-108.7832393060322,61.06112543510278,76.23876114030537
q070,2590364178,-108.60650354434571,237.79688712158986,0.18762738018280023,91,28,27,0.98825,0.9621245714285714,0.960743037037037,2.8e-05,2.7e-05,225,-108.7849858572057,59.31457426160591,76.91841156139442
q071,5406379182,-108.61840836559968,225.892065867626,0.25767061704146843,155,37,41,0.980845,0.970422054054054,0.9733359512195122,3.7e-05,4.1e-05,225,-108.8006181841304,43.6822473369034,83.00155286191746
q072,4261893705,-108.63780730027767,206.49313118963164,0.27809705037107235,180,42,45,0.972514,0.9731440476190476,0.9749316444444445,4.2e-05,4.5e-05,225,-108.789040009507,55.260421960298345,78.49603857888746
q073,6854031279,-108.63816014089504,206.14029057226446,0.15992250293782426,117,39,35,0.988026,0.9723733846153846,0.9692301714285714,3.9e-05,3.5e-05,225,-108.7920620561861,52.23837528120612,79.6720334934158
q074,8495031276,-108.65498822561761,189.31220584968855,0.1770244478338711,164,41,43,0.97871,0.9725852195121951,0.9739014418604651,4.1e-05,4.3e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q075,2865174039,-108.63418381841622,210.11661305108476,0.15464093091111475,132,36,33,0.986014,0.9698172222222222,0.967079696969697,3.6e-05,3.3e-05,225,-108.787001464855,57.29896661230782,77.70276223395615
q076,7145308296,-108.64109423537721,203.20619609009327,0.2188136900914001,199,49,51,0.977747,0.9766671020408163,0.9776955294117647,4.9e-05,5.1e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q077,6472358910,-108.58968617558094,254.61425588636644,0.29600550429293465,138,34,38,0.985248,0.9680451764705882,0.9714225263157895,3.4e-05,3.8e-05,225,-108.7988603079622,45.44012350510229,82.31749544861721
q078,6983174025,-108.62848804030637,215.81239116093798,0.20723221594589475,126,36,41,0.986309,0.9701546666666667,0.9738083414634147,3.6e-05,4.1e-05,225,-108.8211364453603,23.163986107007872,90.98599963709732
q079,0543768192,-108.65152456374548,192.77586772182076,0.28222531018216573,209,50,51,0.971821,0.97694964,0.9774152156862745,5e-05,5.1e-05,225,-108.7908239056613,53.476525806004815,79.19022137229355
q080,4731098625,-108.6029135471076,241.38688435969868,0.30347654481631964,117,36,37,0.987459,0.9700713333333333,0.9708763243243244,3.6e-05,3.7e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q081,0928674153,-108.6329562202653,211.34421120200386,0.21470325646927968,133,37,43,0.984444,0.9707939459459459,0.9748553953488373,3.7e-05,4.3e-05,225,-108.7920620561861,52.23837528120612,79.6720334934158
q082,3982415067,-108.58036019325532,263.94023821198687,0.17193867615321518,77,33,32,0.988713,0.9685877575757575,0.9676130625,3.3e-05,3.2e-05,225,-108.8076751700263,36.625261441002976,85.74769824176644
q083,9514602873,-108.64423659179486,200.06383967243835,0.16639717547566,171,44,45,0.983108,0.9745064090909091,0.9751256444444445,4.4e-05,4.5e-05,225,-108.8000999826977,44.20044876960105,82.79990069890826
q084,4082157963,-108.63665325765352,207.64717381378262,0.21468543028030682,164,41,41,0.968154,0.9724990243902439,0.9725051707317073,4.1e-05,4.1e-05,225,-108.8154629491462,28.83748232110861,88.77822344967511
q085,7014863952,-108.61624649310882,228.0539383584852,0.19880045981490646,100,35,35,0.98998,0.9698294857142857,0.9698442857142857,3.5e-05,3.5e-05,225,-108.7896665011922,54.633930275102216,78.73983065558902
q086,3517682409,-108.63429868249504,210.00174897226032,0.21452848605023983,127,37,36,0.985491,0.9704529189189189,0.9696360555555555,3.7e-05,3.6e-05,225,-108.7846800090701,59.62042239720233,76.79939425614637
q087,2480179356,-108.6197874951023,224.51293636500225,0.25964873056163484,136,35,36,0.977071,0.9687541142857143,0.9696884444444445,3.5e-05,3.6e-05,225,-108.7965682451606,47.732186306703284,81.4255654142102
q088,0963548712,-108.6644360938322,179.86433763510945,0.24866871362730314,206,45,43,0.97083,0.9736594222222222,0.9724318604651163,4.5e-05,4.3e-05,225,-108.7941334555278,50.166975939504255,80.47809486521778
q089,9107258364,-108.61569297700653,228.60745446077146,0.2563237760383161,110,37,37,0.988211,0.970962,0.9709681621621622,3.7e-05,3.7e-05,225,-108.8132578649226,31.042566544698502,87.9201401344871
q090,3054698712,-108.63294943071685,211.35100075045443,0.21451065986126677,152,42,41,0.980798,0.9734127142857143,0.9728060975609756,4.2e-05,4.1e-05,225,-108.7850579283161,59.2425031511965,76.94645721003123
q091,3502178496,-108.67742904239647,166.87138907083465,0.19955886125614705,209,45,49,0.971868,0.9735052,0.9756831020408163,4.5e-05,4.9e-05,225,-108.7915284046835,52.77202678379922,79.46436911234528
q092,6071842539,-108.62455992166562,219.74050980168158,0.20525410242572845,137,39,39,0.982449,0.9720048717948718,0.9720504102564103,3.9e-05,3.9e-05,225,-108.8021119757447,42.18845572260932,83.58284479030773
q093,5967128403,-108.66055304632009,183.747385147214,0.19095233470611891,220,42,43,0.968026,0.9717879523809524,0.9724645581395349,4.2e-05,4.3e-05,225,-108.7941334555278,50.166975939504255,80.47809486521778
q094,7506289314,-108.62154572211172,222.75470935558417,0.19960423119244275,125,40,34,0.986486,0.9731011,0.9683818235294117,4e-05,3.4e-05,225,-108.795030225557,49.270205910303844,80.82706266943379
q095,2968705413,-108.64591980560654,198.38062586076433,0.1644007696767591,134,37,36,0.986101,0.9703995135135135,0.9696255,3.7e-05,3.6e-05,225,-108.8029896806291,41.3107508382069,83.92439361139475
q096,0694753821,-108.6390320606092,205.26837085810712,0.15876919072220813,156,46,39,0.983163,0.9758565652173913,0.971582717948718,4.6e-05,3.9e-05,225,-108.7941049742075,50.19545725980379,80.4670116850462
q097,5173206498,-108.62473779563753,219.56263582977442,0.2103819339604118,155,44,39,0.974194,0.9749530454545454,0.9717587179487179,4.4e-05,3.9e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q098,6845093217,-108.6511636613516,193.13677011570007,0.2402369574963148,197,41,40,0.972873,0.9718078048780487,0.97114405,4.1e-05,4e-05,225,-108.7929545733874,51.34585807989822,80.01934635827942
q099,0951762834,-108.63805945702228,206.24097444502354,0.21550702784681608,145,40,39,0.985023,0.9724599,0.9717627692307692,4e-05,3.9e-05,225,-108.7880320412339,56.26839023339869,78.10379924937189
q100,0836159742,-108.64550736621753,198.7930652497738,0.22668010747892228,161,42,43,0.975286,0.9732368571428571,0.9738655813953488,4.2e-05,4.3e-05,225,-108.7993073590136,44.99307245370687,82.49146025419509
q101,5483761902,-108.6177766095507,226.5238219166008,0.25966655675060774,179,42,40,0.971552,0.9735129047619048,0.97225855,4.2e-05,4e-05,225,-108.7916282060191,52.67222544820527,79.50320566107683
q102,4782531609,-108.63522806450577,209.07236696153575,0.2145284860502398,127,37,38,0.984459,0.970197081081081,0.9710084736842105,3.7e-05,3.8e-05,225,-108.7865626236827,57.73780778460491,77.53199220896698
q103,1369280754,-108.63903131852346,205.26911294383865,0.21583874249592294,164,41,44,0.975672,0.973059512195122,0.9748928636363636,4.1e-05,4.4e-05,225,-108.8152730727509,29.02735871640516,88.70433522127594
q104,6814072359,-108.62125729857485,223.0431328924567,0.2019291479024098,109,38,34,0.989069,0.9719563157894737,0.9686749411764706,3.8e-05,3.4e-05,225,-108.7926152567213,51.6851747459981,79.88730515702703
q105,0974258316,-108.65186375395595,192.43667751135263,0.23295851358094272,144,43,38,0.979274,0.9740980930232558,0.9707792105263158,4.3e-05,3.8e-05,225,-108.7953870510818,48.91338038549975,80.96591724287458
q106,8740256931,-108.63189269068047,212.4077407868299,0.15481570133015465,127,38,35,0.984138,0.9716188947368422,0.9691918285714286,3.8e-05,3.5e-05,225,-108.794424786597,49.87564487029772,80.5914630200518
q107,8319526704,-108.64451949555958,199.78093590772517,0.22668010747892228,202,47,45,0.96268,0.9752656595744681,0.9741458666666667,4.7e-05,4.5e-05,225,-108.805414139892,38.88629157530943,84.86784421504491
q108,5438096127,-108.6196986858119,224.6017456554057,0.26144886992472044,129,40,37,0.98556,0.97295905,0.970788,4e-05,3.7e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q109,0741392685,-108.65819945846167,186.10097300563666,0.1828701194132104,181,46,45,0.975551,0.9751797826086956,0.9746479111111112,4.6e-05,4.5e-05,225,-108.7838727558814,60.42767558589901,76.48526090697877
q110,3619402785,-108.62319807282407,221.10235864323613,0.208210757742471,146,42,38,0.968626,0.9737371428571429,0.9710116315789473,4.2e-05,3.8e-05,225,-108.7953812974371,48.919134030199984,80.96367827782011
q111,8720361549,-108.62756627121215,216.73416025515735,0.1557942431267309,120,34,36,0.984343,0.9684490588235294,0.9701727222222222,3.4e-05,3.6e-05,225,-108.7782023867683,66.09804469900382,74.2787015951574
q112,0158769234,-108.62705484779033,217.24558367697,0.21038193396041185,165,45,40,0.969769,0.9754515111111111,0.9724198,4.5e-05,4e-05,225,-108.791614847341,52.68558412630853,79.49800728422088
q113,1327598046,-108.59656842885738,247.73200260992212,0.2435889896771946,141,35,37,0.978309,0.9685794285714285,0.9702855675675676,3.5e-05,3.7e-05,225,-108.7959871392578,48.31329220949954,81.19943469584021
q114,5178096243,-108.6315181207555,212.78231071180187,0.2669450006659799,126,39,42,0.988025,0.9722520512820513,0.9742263333333333,3.9e-05,4.2e-05,225,-108.7829972609975,61.30317046979883,76.14457208232069
q115,8537049612,-108.68027394483224,164.02648663506625,0.20840382044024555,200,51,51,0.965924,0.9767340784313725,0.976783137254902,5.1e-05,5.1e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q116,7416802593,-108.64437474150543,199.92568996187288,0.22765864927549853,171,42,48,0.975573,0.9733215238095239,0.9766740833333334,4.2e-05,4.8e-05,225,-108.8054329681246,38.867463342697306,84.87517100650535
q117,1235074986,-108.67898457246632,165.31585900098378,0.26082033505598556,181,45,49,0.96591,0.9738097333333333,0.9759757142857143,4.5e-05,4.9e-05,225,-108.8208462492858,23.454182181509964,90.8730731524763
q118,8902436517,-108.6454001868188,198.90024464849887,0.2896785245165777,172,45,45,0.973237,0.9749962666666666,0.9750384,4.5e-05,4.5e-05,225,-108.7978081275811,46.49230388619685,81.90805148274659
q119,0874519632,-108.61698636129302,227.3140701742875,0.2532133802295474,130,37,35,0.984197,0.9708369189189189,0.9691710857142857,3.7e-05,3.5e-05,225,-108.8078268065507,36.47362491660999,85.80670586159462
q120,1287569034,-108.63775008728624,206.55034418106766,0.21981052416671099,160,37,36,0.978333,0.9694677297297297,0.9686988888888889,3.7e-05,3.6e-05,225,-108.7775004395577,66.79999190960473,74.00554686341714
q121,0839274651,-108.62187431816955,222.4261132977574,0.20390726142257617,116,35,37,0.988364,0.9695245142857143,0.9711752432432432,3.5e-05,3.7e-05,225,-108.79075802695,53.542404517301634,79.16458542497456
q122,9042673185,-108.62930965573257,214.99077573473357,0.27479038812648826,117,33,27,0.976798,0.9666247878787879,0.9592403703703704,3.3e-05,2.7e-05,225,-108.8079497994108,36.35063205649658,85.85456712694744
q123,9186074352,-108.64844799446196,195.8524370053425,0.28124676838558943,161,41,42,0.977495,0.9723673658536586,0.9730824761904762,4.1e-05,4.2e-05,225,-108.7881328348322,56.167596635106065,78.14302192578823
q124,6421730895,-108.6191284802398,225.17195122750877,0.26262367815711196,202,47,46,0.962517,0.9756664680851064,0.9751807391304348,4.7e-05,4.6e-05,225,-108.8050739168715,39.2265145957964,84.73545031634501
q125,8490621573,-108.62202159703095,222.2788344363522,0.2039255537013107,100,29,35,0.989585,0.9634984827586207,0.9697333714285714,2.9e-05,3.5e-05,225,-108.7865626236827,57.73780778460491,77.53199220896698
q126,2583410697,-108.62088759435868,223.4128371086257,0.2019501778294235,129,40,42,0.987387,0.97304275,0.9743294761904762,4e-05,4.2e-05,225,-108.79075802695,53.542404517301634,79.16458542497456
q127,9460538712,-108.66889090279176,175.40952867554438,0.19095233470611886,216,50,46,0.971475,0.97624612,0.9741974347826087,5e-05,4.6e-05,225,-108.787001464855,57.29896661230782,77.70276223395615
q128,7569803241,-108.58437868294786,259.9217485194458,0.24261044788061828,160,40,45,0.973794,0.97253485,0.9755903555555555,4e-05,4.5e-05,225,-108.8140003602358,30.30007123150824,88.2090736967692
q129,5769108342,-108.58165576116717,262.6446703001335,0.2940484206997821,152,39,38,0.976585,0.9718578974358975,0.9712004210526316,3.9e-05,3.8e-05,225,-108.7961877692712,48.112662196103884,81.27750757177802
q130,5073862941,-108.62503021304423,219.2702184230768,0.15401192995261828,127,33,35,0.98588,0.9673247878787878,0.9691799428571428,3.3e-05,3.5e-05,225,-108.7668548238808,77.44560758649754,69.86292723260138
q131,4198607325,-108.5768726311852,267.4278002821069,0.22550850298457145,131,34,34,0.979851,0.9678895882352941,0.9679345882352941,3.4e-05,3.4e-05,225,-108.8129859543772,31.314477090106152,87.81432925445726
q132,1586723490,-108.64220296980345,202.097461663854,0.22630907062406702,145,35,36,0.97647,0.9680105142857143,0.9689231111111111,3.5e-05,3.6e-05,225,-108.7915265143945,52.773917072798326,79.46363352799268
q133,9362814705,-108.685271610936,159.0288205313044,0.26297048134691264,174,49,50,0.967039,0.9757394693877551,0.97623848,4.9e-05,5e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
